"vtd","cntyvtd","d","r","winner"
"0103","3550103","316","691","R"
"0107","3550107","647","1828","R"
"0110","3550110","250","417","R"
"0111","3550111","189","304","R"
"0112","3550112","620","633","R"
"0115","3550115","441","566","R"
"0116","3550116","1034","1054","R"
"0117","3550117","395","1211","R"
"0003","3570003","61","999","R"
"0004","3570004","92","693","R"
"0101","3590101","13","137","R"
"004E","37004E","0","0","T"
"005B","37005B","0","0","T"
"0020","370020","148","248","R"
"0021","370021","39","143","R"
"0022","370022","38","199","R"
"0024","370024","65","300","R"
"0025","370025","133","666","R"
"0027","370027","28","410","R"
"0028","370028","33","500","R"
"0029","370029","20","212","R"
"002D","37002D","17","18","R"
"0030","370030","175","725","R"
"003A","37003A","287","590","R"
"004B","37004B","327","670","R"
"004C","37004C","135","137","R"
"005A","37005A","62","63","R"
"005C","37005C","625","2333","R"
"006A","37006A","341","1031","R"
"006B","37006B","281","1233","R"
"008B","37008B","412","1525","R"
"008C","37008C","146","678","R"
"0001","3710001","383","702","R"
"0002","3710002","468","502","R"
"0003","3710003","24","144","R"
"0004","3710004","57","359","R"
"0005","3710005","7","47","R"
"0005","3890005","110","118","R"
"0007","3890007","182","229","R"
"0012","3890012","213","254","R"
"0001","390001","691","1506","R"
"0002","390002","569","1645","R"
"0003","390003","591","2066","R"
"0004","390004","424","1452","R"
"0005","390005","301","820","R"
"0006","390006","112","739","R"
"0008","390008","114","535","R"
"0009","390009","150","268","R"
"0010","390010","66","498","R"
"0011","390011","457","1011","R"
"0012","390012","724","1256","R"
"0013","390013","983","1548","R"
"0014","390014","666","2225","R"
"0015","390015","150","1258","R"
"0016","390016","619","1847","R"
"0020","390020","189","710","R"
"0022","390022","523","1914","R"
"0023","390023","644","1803","R"
"0024","390024","608","1954","R"
"0025","390025","282","900","R"
"0032","410032","0","0","T"
"0042","410042","0","0","T"
"0062","410062","0","0","T"
"0064","410064","0","0","T"
"0068","410068","0","0","T"
"0083","410083","0","0","T"
"0007","4030007","52","83","R"
"0008","4030008","31","206","R"
"0001","4050001","233","514","R"
"0002","4050002","92","112","R"
"0003","4050003","60","102","R"
"0004","4050004","76","173","R"
"0005","4050005","38","206","R"
"0006","4050006","28","156","R"
"0007","4050007","32","199","R"
"0008","4050008","31","426","R"
"0009","4050009","60","495","R"
"0010","4050010","26","232","R"
"0001","4070001","351","1256","R"
"0002","4070002","402","1516","R"
"0003","4070003","139","559","R"
"0004","4070004","26","439","R"
"0005","4070005","157","973","R"
"0006","4070006","236","992","R"
"0007","4070007","352","950","R"
"2-19C","4292-19C","0","0","T"
"0005","4190005","99","1196","R"
"0006","4190006","54","300","R"
"0007","4190007","156","356","R"
"0008","4190008","203","454","R"
"001N","419001N","130","701","R"
"001S","419001S","206","843","R"
"001W","419001W","33","233","R"
"009N","419009N","136","534","R"
"009S","419009S","99","489","R"
"01SW","41901SW","97","695","R"
"0101","4210101","4","46","R"
"0102","4210102","28","112","R"
"0201","4210201","24","80","R"
"0202","4210202","2","74","R"
"0301","4210301","3","74","R"
"0302","4210302","11","126","R"
"0401","4210401","23","295","R"
"0003","4230003","338","1108","R"
"0004","4230004","402","461","R"
"0005","4230005","332","2186","R"
"0006","4230006","103","528","R"
"0007","4230007","259","803","R"
"0008","4230008","191","664","R"
"0014","4230014","330","609","R"
"0015","4230015","334","2752","R"
"0017","4230017","54","526","R"
"0019","4230019","395","2465","R"
"0021","4230021","216","820","R"
"0023","4230023","376","989","R"
"0025","4230025","281","1097","R"
"0026","4230026","249","1402","R"
"0027","4230027","293","711","R"
"0028","4230028","330","2034","R"
"0029","4230029","241","897","R"
"0030","4230030","357","2493","R"
"1064","4391064","0","0","T"
"1084","4391084","0","0","T"
"1277B","4391277B","0","0","T"
"1351","4391351","0","0","T"
"1366","4391366","0","0","T"
"1394","4391394","0","0","T"
"1412","4391412","0","0","T"
"1418","4391418","0","0","T"
"1420","4391420","0","0","T"
"1434","4391434","0","0","T"
"1455","4391455","0","0","T"
"1514","4391514","0","0","T"
"1515","4391515","6","6","T"
"1543","4391543","0","0","T"
"1021","4391021","585","1271","R"
"1022","4391022","315","422","R"
"1023","4391023","1130","1503","R"
"1024","4391024","577","1144","R"
"1034","4391034","411","1545","R"
"1081","4391081","168","274","R"
"1095","4391095","249","352","R"
"1103","4391103","291","653","R"
"1105","4391105","456","611","R"
"1111","4391111","307","1184","R"
"1117","4391117","555","622","R"
"1142","4391142","370","373","R"
"1167","4391167","442","463","R"
"1186","4391186","112","306","R"
"1197","4391197","1601","1688","R"
"1199","4391199","120","173","R"
"1206","4391206","486","1116","R"
"1208","4391208","834","1947","R"
"1244","4391244","29","74","R"
"1264","4391264","458","623","R"
"1270","4391270","148","178","R"
"1271","4391271","778","2131","R"
"1277A","4391277A","430","450","R"
"1294","4391294","860","1630","R"
"1296","4391296","727","1041","R"
"1337","4391337","450","990","R"
"1339","4391339","700","977","R"
"1345","4391345","93","119","R"
"1348","4391348","116","379","R"
"1352","4391352","114","278","R"
"1376","4391376","1","3","R"
"1416","4391416","35","44","R"
"1423","4391423","564","1268","R"
"1424","4391424","2","6","R"
"1431","4391431","269","840","R"
"1437","4391437","221","250","R"
"1457","4391457","0","2","R"
"1472","4391472","11","26","R"
"1491","4391491","1","2","R"
"1504","4391504","221","1033","R"
"1547","4391547","0","0","T"
"1549","4391549","0","0","T"
"1555","4391555","0","0","T"
"1564","4391564","0","0","T"
"1594","4391594","0","0","T"
"1605","4391605","0","0","T"
"1607","4391607","0","0","T"
"1610","4391610","0","0","T"
"1623","4391623","0","0","T"
"1625","4391625","0","0","T"
"1628","4391628","0","0","T"
"1651","4391651","0","0","T"
"1672","4391672","0","0","T"
"1674","4391674","0","0","T"
"1679","4391679","0","0","T"
"2002","4392002","0","0","T"
"2058","4392058","0","0","T"
"2419","4392419","0","0","T"
"1586","4391586","3","8","R"
"1627","4391627","54","121","R"
"2003","4392003","241","362","R"
"2007","4392007","535","946","R"
"2026","4392026","510","713","R"
"2028","4392028","274","586","R"
"2029","4392029","839","1847","R"
"2033","4392033","446","735","R"
"2055","4392055","548","762","R"
"2112","4392112","377","961","R"
"2147","4392147","307","454","R"
"2158","4392158","639","893","R"
"2171","4392171","693","1068","R"
"2173","4392173","200","472","R"
"2174","4392174","659","937","R"
"2181","4392181","697","994","R"
"2205","4392205","561","978","R"
"2219","4392219","703","945","R"
"2220","4392220","701","1032","R"
"2221","4392221","1366","1505","R"
"2223","4392223","348","911","R"
"2228","4392228","583","1028","R"
"2229","4392229","559","753","R"
"2246","4392246","303","519","R"
"2258","4392258","134","285","R"
"2262","4392262","140","422","R"
"2266","4392266","652","1255","R"
"2274","4392274","1","2","R"
"2280","4392280","450","591","R"
"2281","4392281","343","472","R"
"2303","4392303","553","865","R"
"2304","4392304","538","965","R"
"2305","4392305","481","680","R"
"2306","4392306","397","889","R"
"2307","4392307","1084","1579","R"
"2308","4392308","631","966","R"
"2310","4392310","463","681","R"
"2313","4392313","514","998","R"
"2314","4392314","743","1427","R"
"2317","4392317","331","526","R"
"2318","4392318","375","742","R"
"2319","4392319","536","1027","R"
"2355","4392355","344","609","R"
"2356","4392356","882","1005","R"
"2357","4392357","664","1251","R"
"2358","4392358","534","986","R"
"2360","4392360","595","1569","R"
"2401","4392401","83","100","R"
"2402","4392402","1","6","R"
"2426","4392426","478","1000","R"
"2435","4392435","632","742","R"
"2442","4392442","376","390","R"
"2464","4392464","117","171","R"
"2468","4392468","627","888","R"
"2474","4392474","47","181","R"
"2505","4392505","345","684","R"
"2506","4392506","1096","1732","R"
"2513","4392513","0","0","T"
"2561","4392561","0","0","T"
"2571","4392571","0","0","T"
"2600","4392600","0","0","T"
"2601","4392601","0","0","T"
"2609","4392609","0","0","T"
"2612","4392612","0","0","T"
"2659","4392659","3","3","T"
"2673","4392673","0","0","T"
"2675","4392675","0","0","T"
"2680","4392680","0","0","T"
"2681","4392681","0","0","T"
"3406","4393406","0","0","T"
"3446","4393446","0","0","T"
"2520","4392520","544","702","R"
"2521","4392521","311","470","R"
"2522","4392522","895","1466","R"
"2524","4392524","345","1312","R"
"2535","4392535","367","826","R"
"2548","4392548","289","784","R"
"2556","4392556","481","731","R"
"2636","4392636","584","994","R"
"2645","4392645","432","929","R"
"2660","4392660","55","79","R"
"3032","4393032","279","608","R"
"3035","4393035","838","1700","R"
"3036","4393036","523","621","R"
"3037","4393037","582","1292","R"
"3038","4393038","806","1123","R"
"3039","4393039","782","1780","R"
"3040","4393040","393","1112","R"
"3041","4393041","484","764","R"
"3043","4393043","738","2292","R"
"3049","4393049","527","1547","R"
"3054","4393054","657","1504","R"
"3063","4393063","697","1788","R"
"3072","4393072","448","1341","R"
"3560","4393560","0","0","T"
"3566","4393566","0","0","T"
"3575","4393575","0","0","T"
"3580","4393580","0","0","T"
"3583","4393583","0","0","T"
"3584","4393584","0","0","T"
"3585","4393585","0","0","T"
"3590","4393590","0","0","T"
"3653","4393653","0","0","T"
"3654","4393654","0","0","T"
"3661","4393661","0","0","T"
"4016","4394016","470","470","T"
"4370","4394370","0","0","T"
"4478","4394478","0","0","T"
"4483","4394483","12","12","T"
"4487","4394487","0","0","T"
"3539","4393539","1","8","R"
"3542","4393542","522","973","R"
"3545","4393545","491","1236","R"
"3552","4393552","1644","2684","R"
"3554","4393554","533","1430","R"
"3558","4393558","1167","2448","R"
"3562","4393562","17","83","R"
"3567","4393567","706","2585","R"
"3570","4393570","606","1101","R"
"3574","4393574","105","106","R"
"3579","4393579","145","468","R"
"3582","4393582","1","25","R"
"3624","4393624","71","115","R"
"3626","4393626","120","313","R"
"3637","4393637","1405","2101","R"
"3646","4393646","581","1204","R"
"3647","4393647","746","1030","R"
"3648","4393648","713","1492","R"
"3662","4393662","3","9","R"
"3663","4393663","2","3","R"
"3664","4393664","0","1","R"
"3665","4393665","1","9","R"
"3667","4393667","19","41","R"
"3668","4393668","64","177","R"
"3671","4393671","112","345","R"
"4018","4394018","119","305","R"
"4020","4394020","295","554","R"
"4042","4394042","233","360","R"
"4512","4394512","0","0","T"
"4563","4394563","0","0","T"
"4573","4394573","0","0","T"
"4592","4394592","0","0","T"
"4598","4394598","0","0","T"
"4602","4394602","0","0","T"
"4615","4394615","0","0","T"
"4629","4394629","0","0","T"
"4630","4394630","0","0","T"
"4632","4394632","0","0","T"
"4666","4394666","0","0","T"
"4683","4394683","0","0","T"
"4686","4394686","0","0","T"
"4493","4394493","161","237","R"
"4494","4394494","0","8","R"
"4498","4394498","138","289","R"
"4499","4394499","997","1149","R"
"4508","4394508","441","742","R"
"4528","4394528","832","1315","R"
"4531","4394531","556","1315","R"
"4532","4394532","172","638","R"
"4533","4394533","275","531","R"
"4534","4394534","686","1345","R"
"4540","4394540","1166","1500","R"
"4551","4394551","992","1876","R"
"4565","4394565","12","15","R"
"4588","4394588","946","1542","R"
"4591","4394591","647","951","R"
"4593","4394593","71","74","R"
"4595","4394595","36","44","R"
"4599","4394599","1014","1619","R"
"0115","4530115","0","0","T"
"0116","4530116","0","0","T"
"0119","4530119","0","0","T"
"0127","4530127","0","0","T"
"0128","4530128","0","0","T"
"0131","4530131","0","0","T"
"0134","4530134","0","0","T"
"0138","4530138","0","0","T"
"0213","4530213","0","0","T"
"0401","4510401","30","65","R"
"0402","4510402","580","1147","R"
"0420","4510420","52","234","R"
"0421","4510421","440","1621","R"
"0422","4510422","79","743","R"
"0423","4510423","67","600","R"
"0424","4510424","355","957","R"
"0434","4510434","207","343","R"
"0435","4510435","175","364","R"
"0436","4510436","595","1559","R"
"0107","4530107","86","157","R"
"0150","4530150","672","727","R"
"0163","4530163","76","145","R"
"0212","4530212","1508","1518","R"
"0232","4530232","2140","2630","R"
"0234","4530234","810","891","R"
"0305","4530305","3","4","R"
"0306","4530306","875","1442","R"
"0308","4530308","1576","2801","R"
"0312","4530312","656","885","R"
"0314","4530314","1641","1804","R"
"0316","4530316","940","1351","R"
"0319","4530319","661","1040","R"
"0320","4530320","549","875","R"
"0324","4530324","1863","2478","R"
"0432","4530432","0","0","T"
"0345","4530345","0","1","R"
"0346","4530346","1035","2171","R"
"0359","4530359","1602","1799","R"
"0368","4530368","118","175","R"
"0369","4530369","835","1580","R"
"0370","4530370","337","624","R"
"0371","4530371","612","1198","R"
"0372","4530372","458","762","R"
"0373","4530373","1060","2490","R"
"0374","4530374","1859","2187","R"
"0375","4530375","260","412","R"
"0418","4530418","0","5","R"
"0001","4550001","75","353","R"
"0002","4550002","64","345","R"
"0003","4550003","47","224","R"
"0004","4550004","20","148","R"
"0005","4550005","41","125","R"
"0006","4550006","24","121","R"
"0007","4550007","17","140","R"
"0008","4550008","30","273","R"
"0009","4550009","49","311","R"
"0010","4550010","31","177","R"
"0011","4550011","160","760","R"
"0012","4550012","18","50","R"
"0014","4550014","61","293","R"
"0015","4550015","7","64","R"
"0016","4550016","73","193","R"
"0017","4550017","207","290","R"
"0019","4550019","137","591","R"
"0020","4550020","14","39","R"
"0021","4550021","22","161","R"
"0001","4570001","70","365","R"
"0002","4570002","190","324","R"
"0003","4570003","181","603","R"
"0004","4570004","82","639","R"
"0005","4570005","55","70","R"
"0006","4570006","35","265","R"
"0007","4570007","30","370","R"
"0008","4570008","17","137","R"
"0009","4570009","24","243","R"
"0010","4570010","98","682","R"
"0011","4570011","2","72","R"
"0013","4570013","53","316","R"
"0014","4570014","109","858","R"
"0015","4570015","54","497","R"
"0016","4570016","32","311","R"
"0017","4570017","80","181","R"
"0018","4570018","136","691","R"
"0001","4590001","168","869","R"
"0002","4590002","118","1563","R"
"0003","4590003","111","787","R"
"0004","4590004","114","537","R"
"0005","4590005","100","369","R"
"0006","4590006","99","729","R"
"0007","4590007","255","1168","R"
"0008","4590008","98","435","R"
"0009","4590009","169","992","R"
"0010","4590010","136","1240","R"
"0011","4590011","80","294","R"
"0012","4590012","62","553","R"
"0013","4590013","125","403","R"
"0014","4590014","64","266","R"
"0015","4590015","81","1030","R"
"0016","4590016","168","707","R"
"0017","4590017","322","914","R"
"0018","4590018","100","298","R"
"0019","4590019","0","2","R"
"0020","4590020","10","53","R"
"0021","4590021","0","0","T"
"0420B","4730420B","0","0","T"
"0001","4610001","44","246","R"
"0002","4610002","25","115","R"
"0003","4610003","107","209","R"
"0004","4610004","57","255","R"
"0005","4610005","11","58","R"
"0006","4610006","42","124","R"
"0001","4630001","465","477","R"
"0002","4630002","306","501","R"
"0003","4630003","41","388","R"
"0004","4630004","37","295","R"
"0005","4630005","264","718","R"
"0006","4630006","33","171","R"
"0007","4630007","69","317","R"
"0011","4630011","80","208","R"
"0012","4630012","479","745","R"
"0014","4630014","15","64","R"
"0013","4650013","182","374","R"
"0020","4650020","18","109","R"
"0023","4650023","33","128","R"
"0030","4650030","357","366","R"
"0031","4650031","1043","1588","R"
"0032","4650032","28","169","R"
"0033","4650033","235","713","R"
"0042","4650042","1","23","R"
"0043","4650043","6","33","R"
"001A","467001A","138","866","R"
"001B","467001B","216","1466","R"
"001C","467001C","85","772","R"
"001D","467001D","86","715","R"
"001E","467001E","109","414","R"
"002A","467002A","244","1850","R"
"002B","467002B","106","883","R"
"002C","467002C","146","1196","R"
"002D","467002D","143","996","R"
"0209","4850209","0","0","T"
"0210","4850210","1","1","T"
"0307","4770307","205","717","R"
"0311","4770311","123","644","R"
"0312","4770312","105","662","R"
"0316","4770316","37","98","R"
"0320","4770320","153","1112","R"
"0406","4770406","327","778","R"
"0410","4770410","111","659","R"
"0413","4770413","70","522","R"
"0414","4770414","57","516","R"
"0418","4770418","93","252","R"
"0419","4770419","121","247","R"
"0350","4790350","4","12","R"
"0457","4790457","15","25","R"
"0101A","4810101A","205","374","R"
"0101B","4810101B","261","478","R"
"0102","4810102","364","1152","R"
"0103","4810103","286","864","R"
"0201","4810201","247","1475","R"
"0301","4810301","199","1317","R"
"0302","4810302","311","1006","R"
"0303","4810303","131","1199","R"
"0401","4810401","556","702","R"
"0402","4810402","209","537","R"
"0403","4810403","163","257","R"
"0001","4830001","2","166","R"
"0002","4830002","32","326","R"
"0003","4830003","43","316","R"
"0004","4830004","16","109","R"
"0005","4830005","2","74","R"
"0006","4830006","7","72","R"
"0007","4830007","6","96","R"
"0008","4830008","40","352","R"
"0009","4830009","43","494","R"
"0010","4830010","3","82","R"
"0101","4850101","21","137","R"
"0102","4850102","108","429","R"
"0103","4850103","546","2153","R"
"0104","4850104","175","605","R"
"0105","4850105","447","1290","R"
"0106","4850106","71","465","R"
"0107","4850107","4","27","R"
"0108","4850108","382","1605","R"
"0109","4850109","411","1650","R"
"0110","4850110","94","218","R"
"0111","4850111","122","175","R"
"0112","4850112","4","7","R"
"0113","4850113","95","195","R"
"0114A","4850114A","0","8","R"
"0114B","4850114B","1","14","R"
"0116","4850116","2","17","R"
"0117","4850117","2","32","R"
"0201","4850201","377","804","R"
"0202","4850202","238","678","R"
"0203","4850203","218","425","R"
"0204","4850204","36","342","R"
"0205","4850205","312","1914","R"
"0206","4850206","277","1327","R"
"0207","4850207","127","227","R"
"0208","4850208","16","66","R"
"0211","4850211","48","88","R"
"0302","4850302","305","435","R"
"0406","4850406","265","977","R"
"0407","4850407","297","562","R"
"0408","4850408","0","8","R"
"0409","4850409","2","7","R"
"0410","4850410","100","463","R"
"0411","4850411","118","340","R"
"0412","4850412","51","432","R"
"0413","4850413","91","451","R"
"0414","4850414","47","317","R"
"0001A","4870001A","96","499","R"
"0001B","4870001B","6","56","R"
"0007","4870007","16","221","R"
"0009","4870009","114","448","R"
"0019","4870019","295","589","R"
"0020","4870020","146","413","R"
"0021","4870021","136","940","R"
"0010","4890010","32","162","R"
"0101","490101","183","1316","R"
"0105","490105","132","943","R"
"0109","490109","11","178","R"
"0113","490113","146","1008","R"
"0202","490202","186","657","R"
"0204","490204","106","326","R"
"0212","490212","40","469","R"
"0214","490214","45","409","R"
"0215","490215","15","172","R"
"0303","490303","101","622","R"
"0306","490306","107","1048","R"
"0307","490307","41","422","R"
"0308","490308","22","362","R"
"0316","490316","9","130","R"
"0318","490318","100","995","R"
"0410","490410","123","1344","R"
"0411","490411","130","525","R"
"0417","490417","124","1091","R"
"0119","4910119","1048","1073","R"
"0122","4910122","813","844","R"
"0138","4910138","1196","1330","R"
"0172","4910172","711","756","R"
"0182","4910182","1064","1572","R"
"0107","550107","0","0","T"
"0112","550112","0","0","T"
"0001","4970001","134","863","R"
"0002","4970002","334","1420","R"
"0003","4970003","49","420","R"
"0004","4970004","44","146","R"
"0005","4970005","118","883","R"
"0006","4970006","168","946","R"
"0007A","4970007A","84","375","R"
"0007B","4970007B","87","378","R"
"0008","4970008","192","1212","R"
"0009","4970009","127","1309","R"
"0010","4970010","46","302","R"
"0011","4970011","39","312","R"
"0012","4970012","120","855","R"
"0113","550113","0","0","T"
"0114","550114","0","0","T"
"0115","550115","0","0","T"
"0116","550116","0","0","T"
"0117","550117","0","0","T"
"0307","550307","0","0","T"
"0410","550410","0","0","T"
"0056","610056","453","453","T"
"0118","550118","33","44","R"
"0201","550201","187","336","R"
"0202","550202","209","452","R"
"0203","550203","153","438","R"
"0204","550204","164","580","R"
"0205","550205","32","168","R"
"0206","550206","201","287","R"
"0302","550302","377","397","R"
"0303","550303","152","259","R"
"0305","550305","80","154","R"
"0306","550306","90","99","R"
"0400","550400","18","23","R"
"0404","550404","360","401","R"
"0405","550405","196","378","R"
"0407","550407","1","2","R"
"0408","550408","3","5","R"
"0409","550409","5","14","R"
"0004","570004","97","138","R"
"0005","570005","36","109","R"
"0006","570006","64","214","R"
"0007","570007","152","165","R"
"0010","570010","41","45","R"
"0011","570011","68","159","R"
"0012","570012","199","626","R"
"0013","570013","3","5","R"
"0014","570014","47","51","R"
"0015","570015","43","70","R"
"0016","570016","220","395","R"
"0017","570017","146","269","R"
"0018","570018","58","161","R"
"0019","570019","49","306","R"
"0021","570021","25","75","R"
"0022","570022","63","180","R"
"0023","570023","30","118","R"
"0024","570024","121","670","R"
"0025","570025","64","534","R"
"0001","590001","170","1190","R"
"0002","590002","89","960","R"
"0003","590003","148","1080","R"
"0004","590004","65","870","R"
"0005","590005","9","81","R"
"0006","590006","57","398","R"
"0007","590007","31","286","R"
"0002","610002","126","188","R"
"0020","610020","313","339","R"
"0023","610023","47","52","R"
"0029","610029","576","688","R"
"0030","610030","264","316","R"
"0035","610035","289","362","R"
"0044","610044","674","964","R"
"0052","610052","454","748","R"
"0067","610067","619","908","R"
"0080","610080","959","1285","R"
"0084","610084","459","478","R"
"0085","610085","236","271","R"
"0087","610087","437","536","R"
"0108","610108","0","0","T"
"0109","610109","0","0","T"
"0013","710013","0","0","T"
"1001","631001","313","845","R"
"2002","632002","250","1025","R"
"3003","633003","425","479","R"
"4004","634004","272","852","R"
"0101","650101","38","323","R"
"0102","650102","1","74","R"
"0103","650103","36","270","R"
"0201","650201","52","662","R"
"0301","650301","50","415","R"
"0302","650302","15","209","R"
"0108B","850108B","0","0","T"
"0126B","850126B","0","0","T"
"0036","850036","501","841","R"
"0037","850037","149","959","R"
"0038","850038","1477","1835","R"
"0040","850040","642","1516","R"
"0041","850041","416","1391","R"
"0042","850042","257","733","R"
"0043","850043","1358","1517","R"
"0044","850044","339","367","R"
"0045","850045","538","996","R"
"0047","850047","698","830","R"
"0048","850048","906","1077","R"
"0049","850049","571","970","R"
"0053","850053","578","871","R"
"0056","850056","1306","2706","R"
"0057","850057","1040","1497","R"
"0058","850058","1051","1059","R"
"0059","850059","902","1479","R"
"0060","850060","374","1041","R"
"0061","850061","432","692","R"
"0062","850062","748","761","R"
"0063","850063","538","868","R"
"0064","850064","815","828","R"
"0065","850065","302","436","R"
"0066","850066","542","663","R"
"0067","850067","631","774","R"
"0068","850068","498","600","R"
"0069","850069","1075","1386","R"
"0070","850070","468","791","R"
"0197B","850197B","0","0","T"
"0200","850200","0","0","T"
"0203B","910203B","0","0","T"
"0007","10007","452","128","D"
"0008","10008","98","49","D"
"0001","1090001","95","48","D"
"0002","1090002","129","67","D"
"0004","1090004","116","47","D"
"03-5","10903-5","108","99","D"
"1000","1131000","279","44","D"
"0191","850191","37","201","R"
"0192","850192","151","751","R"
"0193","850193","82","421","R"
"0194","850194","5","13","R"
"0195","850195","88","454","R"
"0196","850196","404","633","R"
"1001","1131001","291","68","D"
"1002","1131002","429","105","D"
"1003","1131003","1628","194","D"
"1004","1131004","566","506","D"
"1005","1131005","983","503","D"
"1008","1131008","299","121","D"
"1009","1131009","416","85","D"
"1010","1131010","666","199","D"
"1011","1131011","273","56","D"
"1012","1131012","89","73","D"
"1013","1131013","1472","905","D"
"1014","1131014","874","329","D"
"1015","1131015","783","357","D"
"1016","1131016","91","41","D"
"1017","1131017","454","239","D"
"1018","1131018","109","47","D"
"1019","1131019","1122","439","D"
"1020","1131020","540","314","D"
"1021","1131021","713","378","D"
"1022","1131022","1800","598","D"
"1023","1131023","782","483","D"
"1026","1131026","260","114","D"
"1027","1131027","1322","507","D"
"1028","1131028","598","250","D"
"1029","1131029","690","145","D"
"1030","1131030","835","389","D"
"1032","1131032","250","211","D"
"1033","1131033","403","348","D"
"1035","1131035","87","43","D"
"1036","1131036","301","118","D"
"1037","1131037","505","145","D"
"1038","1131038","890","158","D"
"1039","1131039","139","15","D"
"1040","1131040","1095","438","D"
"1041","1131041","319","38","D"
"1042","1131042","534","56","D"
"1045","1131045","673","169","D"
"1046","1131046","134","61","D"
"1047","1131047","463","254","D"
"1048","1131048","926","841","D"
"1049","1131049","771","611","D"
"1050","1131050","61","45","D"
"1051","1131051","88","63","D"
"1052","1131052","1399","812","D"
"1054","1131054","565","193","D"
"1055","1131055","296","104","D"
"1056","1131056","328","207","D"
"1057","1131057","695","316","D"
"1058","1131058","696","395","D"
"1059","1131059","580","452","D"
"1060","1131060","1773","1115","D"
"1061","1131061","608","335","D"
"1062","1131062","16","9","D"
"1063","1131063","563","250","D"
"1064","1131064","56","16","D"
"1065A","1131065A","1031","211","D"
"1068","1131068","14","7","D"
"1069","1131069","25","4","D"
"1070","1131070","668","153","D"
"1071A","1131071A","1195","457","D"
"1073","1131073","1082","274","D"
"1074","1131074","569","81","D"
"1075A","1131075A","783","268","D"
"1076","1131076","879","395","D"
"1078","1131078","509","73","D"
"1079","1131079","680","261","D"
"1080","1131080","307","53","D"
"1081","1131081","1183","541","D"
"1082","1131082","88","12","D"
"1083","1131083","659","152","D"
"1084","1131084","1580","356","D"
"1085","1131085","480","89","D"
"1086","1131086","160","52","D"
"1087A","1131087A","1517","180","D"
"1088","1131088","699","169","D"
"1089","1131089","885","62","D"
"1090","1131090","943","156","D"
"1091","1131091","799","161","D"
"1092","1131092","1298","144","D"
"1093","1131093","688","59","D"
"1094","1131094","585","35","D"
"1095","1131095","575","79","D"
"1096","1131096","539","71","D"
"1097","1131097","982","197","D"
"1098","1131098","865","93","D"
"1099","1131099","27","4","D"
"1100","1131100","1272","72","D"
"1101","1131101","595","112","D"
"1102","1131102","674","143","D"
"1103","1131103","181","48","D"
"1104","1131104","1033","123","D"
"1105","1131105","10","3","D"
"1106","1131106","98","23","D"
"1107","1131107","278","72","D"
"1108","1131108","1015","166","D"
"1109","1131109","156","41","D"
"1110","1131110","10","2","D"
"1111","1131111","495","113","D"
"1112","1131112","199","19","D"
"1113","1131113","112","9","D"
"1114","1131114","294","28","D"
"1115","1131115","507","198","D"
"1116","1131116","503","215","D"
"1117","1131117","989","789","D"
"1118","1131118","610","120","D"
"1119","1131119","838","58","D"
"1120","1131120","602","210","D"
"1121","1131121","799","231","D"
"1122","1131122","127","37","D"
"1125","1131125","654","385","D"
"1126","1131126","296","69","D"
"1127","1131127","240","41","D"
"1129","1131129","60","9","D"
"1130","1131130","485","133","D"
"1131","1131131","462","157","D"
"1132","1131132","19","9","D"
"1133","1131133","148","84","D"
"1134","1131134","187","15","D"
"1135","1131135","659","75","D"
"1136","1131136","3","0","D"
"1137","1131137","14","7","D"
"1139","1131139","14","8","D"
"1301","1131301","750","651","D"
"1302","1131302","759","539","D"
"1303","1131303","54","6","D"
"1304","1131304","428","415","D"
"1305","1131305","465","348","D"
"1307","1131307","79","4","D"
"1308A","1131308A","559","433","D"
"1309","1131309","131","28","D"
"1310","1131310","841","702","D"
"1312","1131312","293","244","D"
"1313","1131313","167","30","D"
"1314","1131314","800","416","D"
"1316","1131316","319","109","D"
"1500","1131500","794","428","D"
"1501","1131501","771","569","D"
"1502","1131502","1281","728","D"
"1503","1131503","915","346","D"
"1504","1131504","670","646","D"
"1700","1131700","617","392","D"
"1701","1131701","568","464","D"
"1702","1131702","843","586","D"
"1703","1131703","892","476","D"
"1704","1131704","426","269","D"
"1705","1131705","602","396","D"
"1706","1131706","887","485","D"
"1707","1131707","210","54","D"
"1708","1131708","172","128","D"
"1709","1131709","1341","380","D"
"1710","1131710","643","62","D"
"1711","1131711","672","385","D"
"1714","1131714","561","498","D"
"1715","1131715","487","238","D"
"1717","1131717","1072","733","D"
"1719","1131719","891","558","D"
"1720","1131720","943","741","D"
"1722","1131722","1002","496","D"
"1723","1131723","68","35","D"
"1724","1131724","31","10","D"
"1726","1131726","520","514","D"
"1727","1131727","71","39","D"
"1728","1131728","389","345","D"
"1729","1131729","511","265","D"
"2001","1132001","7","3","D"
"2002","1132002","458","359","D"
"2005","1132005","347","339","D"
"2009","1132009","719","629","D"
"2012","1132012","619","563","D"
"2015","1132015","382","374","D"
"2017","1132017","609","317","D"
"2020","1132020","982","737","D"
"2024","1132024","442","437","D"
"2031","1132031","1245","822","D"
"2032","1132032","735","420","D"
"2033","1132033","622","492","D"
"2035","1132035","507","359","D"
"2037","1132037","270","227","D"
"2038","1132038","1239","843","D"
"2039","1132039","1155","678","D"
"2040","1132040","631","528","D"
"2042","1132042","1130","907","D"
"2043","1132043","754","706","D"
"2044","1132044","337","319","D"
